S. No.,Topic,Question,Option A,Option B,Option C,Option D,Correct Option
1,Gratuity,"Under the Payment of Gratuity Act, 1972, gratuity becomes payable to an employee on which of the following events?",Only on retirement after age 60,"Retirement, resignation, death or disablement, or termination after required service",Only on death while in service,Only on superannuation as per company rules,B
2,Gratuity,The minimum continuous service generally required to be eligible for statutory gratuity (except in case of death or disablement) is:,3 years,4 years,5 years,10 years,C
3,Gratuity,"For the purpose of the Gratuity Act, 1972, an establishment is generally covered if it employs:",5 or more persons,10 or more persons,20 or more persons,50 or more persons,B
4,Gratuity,"Under the Gratuity Act, “continuous service” primarily refers to:",Service without any leave availed,Service that is not broken by periods defined as interruptions under the Act,Service only under a permanent contract,Service completed in a single financial year,B
5,Gratuity,"For employees covered by the Gratuity Act, the statutory formula for gratuity is typically based on:",10 days’ wages for each completed year of service,15 days’ wages for each completed year of service,20 days’ wages for each completed year of service,30 days’ wages for each completed year of service,B
6,Gratuity,"In the statutory gratuity formula, the “wages” used for calculation generally exclude which of the following?",Basic and dearness allowance,Basic salary only,Dearness allowance and retaining allowance,Bonus and overtime,D
7,Gratuity,"When an employee dies in service, gratuity under the Act is payable:",Only if 5 years of service are completed,Irrespective of length of service,Only if nominee is registered,Only if death occurs at workplace,B
8,Gratuity,The current statutory monetary ceiling for gratuity payable under the Gratuity Act for private sector employees (subject to latest notified limit) is most commonly:,Rs. 10 lakh,Rs. 15 lakh,Rs. 20 lakh,Rs. 25 lakh,C
9,Gratuity,Which of the following best describes a “non-act liability” for gratuity in actuarial valuation practice in India?,Liability in excess of the statutory gratuity ceiling,Liability for employees not covered under the Gratuity Act,Liability arising from non-vesting benefits,Liability not allowed as a tax deduction,B
10,Gratuity,"In many company gratuity schemes, benefits better than the Act (e.g. 1 month per year) are called:",Super-statutory benefits,Non-statutory forfeitures,Back-loaded benefits,Conditional accruals,A
11,Gratuity,Which of the following is TRUE about tax treatment of gratuity received from an approved gratuity fund by a non-government employee (subject to Income-tax provisions)?,Entire gratuity is always taxable,Entire gratuity is always tax-free,Exemption is subject to a monetary ceiling and other limits under the Income-tax Act,Gratuity is taxable only if paid in cash,C
12,Gratuity,"In actuarial valuation of gratuity benefits, the benefit is generally treated as which type of obligation under AS 15 (Revised) or Ind AS 19?",Short-term employee benefit,Defined contribution post-employment benefit,Defined benefit post-employment benefit,Termination benefit only,C
13,Gratuity,"For a gratuity scheme, the vesting condition under the Gratuity Act is primarily:",Completion of 3 years of service,Completion of 5 years of continuous service (except in death/disablement),Completion of 7 years of service,No vesting condition applies,B
14,Gratuity,"In a typical funded gratuity scheme with an insurer, the actuarial liability used for accounting is usually:",Always equal to the fund value,Higher of actuarial liability and fund value,"Actuarial present value of accrued benefits, independent of current fund value",Lower of actuarial liability and fund value,C
15,Gratuity,"For an employee with breaks in service, whether service is “continuous” for gratuity depends primarily on:",HR policy of the company,The employee’s designation,Definitions and rules under the Gratuity Act,Approval from tax authorities,C
16,Gratuity,"Under the Gratuity Act, calculation of years of service for a monthly rated employee generally counts a fraction of a year exceeding:",30 days as a year,180 days as a completed year,240 days as a completed year,365 days as a completed year,B
17,Gratuity,Which of the following is an example of a plan amendment for gratuity in actuarial valuation terms?,Change in discount rate,Change in salary escalation assumption,Change in benefit formula from 15 days to 30 days per year,Change in mortality table,C
18,Gratuity,"In the context of gratuity, which is the MOST appropriate description of “past service cost”?",Cost due to change in actuarial assumptions in the current year,Increase in present value of obligation due to improvement in benefits for past service,Interest cost on opening liability,Employer’s contribution paid during the year,B
19,Gratuity,"When a company closes a unit and terminates employment, resulting in loss of future service and reduction in future benefits, this is generally called:",Past service cost,Curtailment,Settlement,Actuarial gain,B
20,Gratuity,Which of the following is generally NOT an assumption required specifically for a gratuity valuation?,Salary escalation,Employee withdrawal/attrition,Pre-retirement mortality,Investment return on shareholders’ funds,D
21,Gratuity,"Under Indian practice, discount rate used for defined benefit plans like gratuity is typically based on:",Average bank fixed deposit rate,Government bond yields of appropriate term,Company’s expected investment return,Inflation rate plus a fixed margin,B
22,Gratuity,"If the benefit formula provides gratuity on “basic + DA”, increasing DA as a policy will most directly impact which component of the valuation?",Number of members,Discount rate,Salary scale and hence projected benefits,Withdrawal rates,C
23,Gratuity,Which of the following situations typically leads to an actuarial loss on gratuity obligation?,Actual salary growth lower than assumed,Actual withdrawals higher than assumed,Reduction in discount rate compared to previous year,Increase in retirement age,C
24,Gratuity,"For a company with both Act and non-Act gratuity members, which is the most appropriate approach in actuarial valuation?",Ignore non-Act members,Value Act and non-Act members separately but using consistent principles,Use a single flat liability equal to 4.81% of salary,Value only those with service greater than 5 years,B
25,Gratuity,Which of the following is TRUE regarding gratuity scheme funding in India?,Funding through a trust or insurer is legally mandatory for all employers,Funding is optional; many smaller companies keep gratuity unfunded,Funding is allowed only through government schemes,Funding is prohibited under tax laws,B
26,Gratuity,"In an IFRS/Ind AS environment, gratuity obligations are classified on the balance sheet as:",Purely current liabilities,Purely non-current liabilities,Split into current and non-current portions based on expected benefit payments,Off-balance sheet items,C
27,Gratuity,Payment of gratuity on resignation before vesting service under the Act:,Is mandated at a reduced scale,Is not mandated under the Act but may be provided under company policy,Is always mandatory at full scale,Is prohibited by the Act,B
28,Gratuity,"In actuarial reports, “sensitivity analysis” for gratuity typically shows impact on DBO due to changes in which of the following?",Only number of employees,"Discount rate, salary escalation and withdrawal assumptions",Corporate tax rate,Share price movements,B
29,Gratuity,Which of the following is a key difference between an “unfunded” and “funded” gratuity scheme?,Type of benefit formula,Whether benefit is defined contribution or defined benefit,Whether assets are set aside in a trust/insurer to meet obligations,Whether the scheme is covered under the Gratuity Act,C
30,Leave Encashment,Leave encashment benefit that can be carried forward and encashed on termination is usually classified under AS 15 / Ind AS 19 as:,Short-term employee benefit,Post-employment benefit,Other long-term employee benefit,Termination benefit,C
31,Leave Encashment,Short-term accumulated leave encashment expected to be used within 12 months of the balance sheet date is classified as:,Short-term employee benefit,Post-employment benefit,Other long-term employee benefit,Share-based payment,A
32,Leave Encashment,Which of the following best describes “accumulating compensated absences”?,Leave that lapses at year-end,Leave that can be carried forward and used in future periods,Leave available only on retirement,Unpaid extra working days,B
33,Leave Encashment,"For non-vesting accumulating leave (no cash on exit), an obligation exists because:",Employees can require cash settlement at any time,Employees may use accumulated leave in future periods,Tax rules require a provision,Auditors require it regardless of plan design,B
